date,RSI
2015-10-22,44.486
2015-10-23,50.201
2015-10-26,49.475
2015-10-27,46.4225
2015-10-28,55.5863
2015-10-29,54.9855
2015-10-30,55.3567
2015-11-02,56.3641
2015-11-03,47.6367
2015-11-04,42.6964
2015-11-05,47.3647
2015-11-06,52.7394
2015-11-09,50.2151
2015-11-10,54.199
2015-11-11,52.3606
2015-11-12,48.9472
2015-11-13,45.8797
2015-11-16,44.9691
2015-11-17,43.1257
2015-11-18,45.6261
2015-11-19,41.7517
2015-11-20,40.9118
2015-11-23,37.7176
2015-11-24,36.027
2015-11-25,40.5694
2015-11-27,38.9245
2015-11-30,43.1777
2015-12-01,43.5306
2015-12-02,38.4702
2015-12-03,38.0663
2015-12-04,31.827
2015-12-07,29.6938
2015-12-08,32.2102
2015-12-09,29.208
2015-12-10,35.7877
2015-12-11,32.4712
2015-12-14,31.4056
2015-12-15,45.2836
2015-12-16,55.3995
2015-12-17,53.2298
2015-12-18,50.2928
2015-12-21,45.4876
2015-12-22,49.0125
2015-12-23,41.6589
2015-12-24,40.2854
2015-12-28,38.9621
2015-12-29,42.7371
2015-12-30,44.713
2015-12-31,47.7156
2016-01-04,41.7541
2016-01-05,44.1965
2016-01-06,42.4909
2016-01-07,38.6126
2016-01-08,37.1035
2016-01-11,36.527
2016-01-12,37.3425
2016-01-13,33.7411
2016-01-14,32.1931
2016-01-15,28.6791
2016-01-19,28.4632
2016-01-20,25.1504
2016-01-21,24.5816
2016-01-22,25.489
2016-01-25,24.8976
2016-01-26,46.2612
2016-01-27,39.8444
2016-01-28,38.7129
2016-01-29,48.0656
2016-02-01,44.7364
2016-02-02,41.6913
2016-02-03,43.2835
2016-02-04,48.1927
2016-02-05,39.6531
2016-02-08,39.5405
2016-02-09,38.424
2016-02-10,38.7182
2016-02-11,45.035
2016-02-12,42.9026
2016-02-16,57.2258
2016-02-17,52.1484
2016-02-18,51.9387
2016-02-19,53.1558
2016-02-22,55.8956
2016-02-23,53.908
2016-02-24,57.3765
2016-02-25,56.6563
2016-02-26,61.9876
2016-02-29,65.9541
2016-03-01,69.8934
2016-03-02,71.8341
2016-03-03,73.9502
2016-03-04,78.2136
2016-03-07,82.1665
2016-03-08,79.4543
2016-03-09,79.5795
