date,RSI
2015-09-04,41.4467
2015-09-08,42.6444
2015-09-09,39.4585
2015-09-10,39.3348
2015-09-11,38.4879
2015-09-14,38.5575
2015-09-15,39.8476
2015-09-16,40.2875
2015-09-17,43.4097
2015-09-18,46.0345
2015-09-21,41.7438
2015-09-22,35.9276
2015-09-23,33.4039
2015-09-24,36.3787
2015-09-25,35.8688
2015-09-28,32.1147
2015-09-29,31.475
2015-09-30,37.7906
2015-10-01,36.6317
2015-10-02,38.7409
2015-10-05,41.8602
2015-10-06,44.7605
2015-10-07,48.0029
2015-10-08,51.0786
2015-10-09,50.4289
2015-10-12,51.1376
2015-10-13,50.1507
2015-10-14,49.0373
2015-10-15,50.1411
2015-10-16,48.0709
2015-10-19,50.4765
2015-10-20,45.9912
2015-10-21,41.1769
2015-10-22,44.4622
2015-10-23,48.4991
2015-10-26,48.0129
2015-10-27,45.9649
2015-10-28,52.5771
2015-10-29,52.1784
2015-10-30,52.4495
2015-11-02,53.1761
2015-11-03,47.4259
2015-11-04,43.9544
2015-11-05,47.186
2015-11-06,51.0382
2015-11-09,49.3076
2015-11-10,52.1875
2015-11-11,50.9462
2015-11-12,48.6223
2015-11-13,46.4961
2015-11-16,45.8628
2015-11-17,44.5843
2015-11-18,46.2279
2015-11-19,43.5622
2015-11-20,42.9765
2015-11-23,40.7238
2015-11-24,39.5072
2015-11-25,42.3764
2015-11-27,41.2386
2015-11-30,43.9542
2015-12-01,44.1804
2015-12-02,40.7726
2015-12-03,40.4939
2015-12-04,36.0031
2015-12-07,34.3701
2015-12-08,35.943
2015-12-09,33.6775
2015-12-10,37.8845
2015-12-11,35.4679
2015-12-14,34.6763
2015-12-15,44.1013
2015-12-16,51.7324
2015-12-17,50.2539
2015-12-18,48.2444
2015-12-21,44.8856
2015-12-22,47.472
2015-12-23,42.1892
2015-12-24,41.1716
2015-12-28,40.1954
2015-12-29,42.8535
2015-12-30,44.253
2015-12-31,46.3889
2016-01-04,42.2311
2016-01-05,43.9513
2016-01-06,42.7599
2016-01-07,40.0016
2016-01-08,38.9084
2016-01-11,38.4931
2016-01-12,39.0259
2016-01-13,36.4613
2016-01-14,35.3298
2016-01-15,32.6822
2016-01-19,32.5167
2016-01-20,29.9248
2016-01-21,29.4684
2016-01-22,30.0301
2016-01-25,29.5755
2016-01-26,43.8174
2016-01-27,39.4073
2016-01-28,38.607
2016-01-29,45.4712
2016-02-01,43.1705
2016-02-02,41.0307
2016-02-03,42.1859
2016-02-04,45.7881
2016-02-05,39.763
2016-02-08,39.6809
2016-02-09,38.8788
2016-02-10,39.0835
2016-02-11,43.5287
2016-02-12,42.0814
2016-02-16,52.9054
2016-02-17,49.4028
2016-02-18,49.2578
2016-02-19,50.1816
2016-02-22,52.2652
2016-02-23,50.9521
2016-02-24,53.5618
2016-02-25,53.0954
2016-02-26,57.1691
2016-02-29,60.3568
2016-03-01,63.6707
2016-03-02,65.3563
2016-03-03,67.2293
2016-03-04,71.1942
2016-03-07,75.1709
2016-03-08,73.3098
2016-03-09,73.4292
2016-03-10,74.6468
2016-03-11,75.9869
2016-03-14,74.927
2016-03-15,71.3646
2016-03-16,71.6979
2016-03-17,71.5517
2016-03-18,72.8059
2016-03-21,68.6567
2016-03-22,65.1662
2016-03-23,62.6194
2016-03-24,62.9801
2016-03-28,65.5826
2016-03-29,66.399
2016-03-30,62.2316
2016-03-31,59.7558
2016-04-01,62.5136
2016-04-04,57.3578
2016-04-05,55.5133
2016-04-06,58.2487
2016-04-07,53.515
2016-04-08,53.8041
2016-04-11,51.4998
2016-04-12,53.738
2016-04-13,57.3625
2016-04-14,55.5767
2016-04-15,53.8703
2016-04-18,56.9863
2016-04-19,54.1997
2016-04-20,54.2998
2016-04-21,52.4301
2016-04-22,52.4301
2016-04-25,49.5632
2016-04-26,52.0863
2016-04-27,55.3149
2016-04-28,56.4663
2016-04-29,56.1204
2016-05-02,59.8016
2016-05-03,57.2386
2016-05-04,58.4366
2016-05-05,59.0146
2016-05-06,60.487
2016-05-09,60.487
2016-05-10,64.4312
2016-05-11,62.0893
2016-05-12,58.7193
2016-05-13,59.1637
2016-05-16,59.2791
2016-05-17,59.1033
2016-05-18,55.5494
2016-05-19,48.972
2016-05-20,50.3933
2016-05-23,49.8091
2016-05-24,53.4317
2016-05-25,52.0364
2016-05-26,52.3998
2016-05-27,56.4948
2016-05-31,53.3814
2016-06-01,54.7625
2016-06-02,56.4599
2016-06-03,53.0031
2016-06-06,49.9414
2016-06-07,47.8525
2016-06-08,47.7774
2016-06-09,47.1539
2016-06-10,40.9646
2016-06-13,38.4871
2016-06-14,38.961
2016-06-15,41.6125
2016-06-16,44.9395
2016-06-17,43.6654
2016-06-20,46.7552
2016-06-21,44.5505
2016-06-22,43.3318
2016-06-23,46.1591
2016-06-24,43.9265
2016-06-27,37.9945
2016-06-28,42.3586
2016-06-29,49.3302
2016-06-30,50.6423
2016-07-01,54.4336
2016-07-05,49.0951
2016-07-06,47.2202
2016-07-07,50.4098
2016-07-08,50.4098
2016-07-11,51.6245
2016-07-12,62.5226
2016-07-13,65.8351
2016-07-14,65.6145
2016-07-15,65.7354
2016-07-18,65.1726
2016-07-19,64.5906
2016-07-20,61.0641
2016-07-21,61.1679
2016-07-22,63.8085
2016-07-25,58.347
2016-07-26,58.4571
2016-07-27,53.4056
2016-07-28,55.0298
2016-07-29,54.2193
2016-08-01,47.7574
2016-08-02,44.1246
2016-08-03,46.8278
2016-08-04,49.5876
2016-08-05,51.8511
2016-08-08,51.1327
2016-08-09,50.7959
2016-08-10,54.1643
2016-08-11,55.6711
2016-08-12,56.5728
2016-08-15,55.8552
2016-08-16,56.1156
2016-08-17,55.3424
2016-08-18,58.2364
2016-08-19,56.6197
2016-08-22,54.4112
2016-08-23,55.0752
2016-08-24,57.6031
2016-08-25,58.0293
2016-08-26,53.0692
2016-08-29,54.3102
2016-08-30,54.5475
2016-08-31,59.0262
2016-09-01,60.9822
2016-09-02,60.8761
2016-09-06,61.09
2016-09-07,64.2457
2016-09-08,62.393
2016-09-09,56.6924
2016-09-12,61.5735
2016-09-13,61.0561
2016-09-14,61.3975
2016-09-15,65.3041
